trade_date,target_symbol,held_symbol,shares,cash,position_value,equity,value_before_rebalance
2020-01-02,,,0,1000000.0,0.0,1000000.0,1000000.0
2020-01-03,511880,511880,9900,8237.34061069612,991465.2,999702.5406106961,1000000.0
2020-01-06,511880,511880,9900,8237.34061069612,991504.8,999742.1406106962,999742.1406106962
2020-01-07,511880,511880,9900,8237.34061069612,991623.6,999860.9406106961,999860.9406106961
2020-01-08,511880,511880,9900,8237.34061069612,991742.4,999979.7406106961,999979.7406106961
2020-01-09,511880,511880,9900,8237.34061069612,991791.9,1000029.2406106961,1000029.2406106961
2020-01-10,511880,511880,9900,8237.34061069612,991989.8999999999,1000227.240610696,1000227.240610696
2020-01-13,511880,511880,9900,8237.34061069612,992069.1,1000306.4406106961,1000306.4406106961
2020-01-14,511880,511880,9900,8237.34061069612,992217.6000000001,1000454.9406106962,1000454.9406106962
2020-01-15,511880,511880,9900,8237.34061069612,992296.8,1000534.1406106962,1000534.1406106962
2020-01-16,511880,511880,9900,8237.34061069612,992316.6,1000553.9406106961,1000553.9406106961
2020-01-17,511880,511880,9900,8237.34061069612,992682.9,1000920.2406106961,1000920.2406106961
2020-01-20,511880,511880,9900,8237.34061069612,992574.0,1000811.3406106961,1000811.3406106961
2020-01-21,511880,511880,9900,8237.34061069612,992692.8,1000930.1406106962,1000930.1406106962
2020-01-22,511880,511880,9900,8237.34061069612,992989.8,1001227.1406106962,1001227.1406106962
2020-01-23,511880,511880,9900,8237.34061069612,993870.9,1002108.2406106961,1002108.2406106961
2020-02-03,511880,511880,9900,8237.34061069612,993494.7,1001732.0406106961,1001732.0406106961
2020-02-04,511880,511880,9900,8237.34061069612,993583.7999999999,1001821.140610696,1001821.140610696
2020-02-05,511880,511880,9900,8237.34061069612,993890.7,1002128.0406106961,1002128.0406106961
2020-02-06,511880,511880,9900,8237.34061069612,993979.8,1002217.1406106962,1002217.1406106962
2020-02-07,511880,511880,9900,8237.34061069612,994207.5,1002444.8406106961,1002444.8406106961
2020-02-10,511880,511880,9900,8237.34061069612,994158.0,1002395.3406106961,1002395.3406106961
2020-02-11,511880,511880,9900,8237.34061069612,994059.0,1002296.3406106961,1002296.3406106961
2020-02-12,511880,511880,9900,8237.34061069612,994118.4,1002355.7406106961,1002355.7406106961
2020-02-13,511880,511880,9900,8237.34061069612,994197.6000000001,1002434.9406106962,1002434.9406106962
2020-02-14,511880,511880,9900,8237.34061069612,994375.7999999999,1002613.140610696,1002613.140610696
2020-02-17,159949,159949,1248500,1986.5467397258617,1000048.5,1002035.0467397259,1002533.9406106961
2020-02-18,159949,159949,1248500,1986.5467397258617,1007539.5000000001,1009526.046739726,1009526.046739726
2020-02-19,159949,159949,1248500,1986.5467397258617,985066.5,987053.0467397259,987053.0467397259
2020-02-20,159949,159949,1248500,1986.5467397258617,1015030.4999999999,1017017.0467397257,1017017.0467397257
2020-02-21,159949,159949,1248500,1986.5467397258617,1033758.0,1035744.5467397259,1035744.5467397259
2020-02-24,159949,159949,1248500,1986.5467397258617,1051237.0,1053223.5467397259,1053223.5467397259
2020-02-25,159915,159915,485400,2219.645730665885,1065453.0,1067672.645730666,1068205.5467397259
2020-02-26,159915,159915,485400,2219.645730665885,1020310.7999999999,1022530.4457306658,1022530.4457306658
2020-02-27,512660,512660,1176100,2003.6744330039946,1024383.1,1026386.774433004,1026899.045730666
2020-02-28,512660,512660,1176100,2003.6744330039946,965578.1,967581.774433004,967581.774433004
2020-03-02,518880,518880,283100,1975.2896581999958,1002740.2,1004715.4896582,1005216.9744330039
2020-03-03,511880,511880,9900,6884.871495538042,995633.1,1002517.971495538,1003016.8896582
2020-03-04,159985,159985,1033100,1997.808674722095,1000040.7999999999,1002038.608674722,1002537.7714955381
2020-03-05,159985,159985,1033100,1997.808674722095,1001073.9,1003071.7086747221,1003071.7086747221
2020-03-06,512880,512880,932900,2004.08579663618,995404.2999999999,997408.3857966361,997906.2086747221
2020-03-09,515050,515050,2366000,1875.386992175714,964265.0762762761,966140.4632684519,966622.6857966362
2020-03-10,518880,518880,283600,2044.8359348215163,1024363.2000000001,1026408.0359348216,1026920.374379563
2020-03-11,159985,159985,1088500,2025.478193321731,1034075.0,1036100.4781933217,1036617.6359348216
2020-03-12,518880,518880,285200,2230.212933289702,1029001.6,1031231.8129332897,1031746.4781933217
2020-03-13,511880,511880,9900,4314.482679539593,996187.5,1000501.9826795396,1001000.6129332896
2020-03-16,511880,511880,9900,4314.482679539593,996365.7,1000680.1826795395,1000680.1826795395
2020-03-17,511880,511880,9900,4314.482679539593,996444.8999999999,1000759.3826795395,1000759.3826795395
2020-03-18,159985,159985,1042100,1978.2642929037102,998331.7999999999,1000310.0642929036,1000808.8826795396
2020-03-19,159985,159985,1042100,1978.2642929037102,988952.8999999999,990931.1642929036,990931.1642929036
2020-03-20,511880,511880,10100,2743.3602457457455,1016857.9,1019601.2602457458,1020109.9642929037
2020-03-23,159985,159985,988600,1954.5612403578125,1017269.3999999999,1019223.9612403577,1019732.5602457457
2020-03-24,511880,511880,9900,8141.932935519726,996741.9,1004883.8329355197,1005383.5612403577
2020-03-25,511880,511880,9900,8141.932935519726,996751.8,1004893.7329355198,1004893.7329355198
2020-03-26,159985,159985,997500,1925.9123157697031,1002487.4999999999,1004413.4123157696,1004913.5329355197
2020-03-27,159985,159985,997500,1925.9123157697031,1014457.4999999999,1016383.4123157696,1016383.4123157696
2020-03-30,159985,159985,997500,1925.9123157697031,1023435.0,1025360.9123157697,1025360.9123157697
